Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
loss,Kaizer Morde,viego,50,433,247,47,187.3,0,StrawberryDureXx,kindred,52,572,226,52,183.4,0,Veiga,veigar,52,405,386,53,205.9,0,BIE CHI BIE CHI,xayah,58,153,3,0,244.3,0,Dal Byul,alistar,53,617,100,57,29.9,0,Lizzy409,renekton,51,462,66,62,186,0,NUNU WINTRADE,nunu&willump,57,515,456,59,163.9,0,Greed,zed,52,475,302,57,215.2,0,array4,jinx,52,243,23,61,191.4,0,tamım,janna,51,788,176,52,12.2,0,2.6875,3.1084,2.6250,2.8167,3.2413,2.3260,3.1651,3.1673,2.5564,3.0613
win,Elo Demon,ornn,58,177,175,59,185.9,0,ChasingMyDreams,hecarim,69,36,6,50,145.5,0,Ryzeini,azir,56,143,76,55,224.8,0,DeadEdge,tristana,52.77,265.88,0,54.01,0,0,The Wench,yuumi,47,133,208,52,3.1,0,Khòöó ,aatrox,52.77,265.88,0,54.01,0,0,KLZ Sundae,jarvaniv,57,138,7,57,134,0,APL clØudy,orianna,42,45,6,83,223.3,0,APL Thng,kaisa,46,65,14,57,229.7,0,APL youngtobi,leona,52.77,265.88,0,54.01,0,0,5.0838,1.9367,3.0266,2.80,4.4613,2.80,4.9661,4.8988,3.86106,2.80
win,PogoDuMaxi,warwick,53,167,3,67,170.3,0,Zzloba,fiddlesticks,51,566,489,53,168.3,0,bombtruck457,syndra,46,126,27,48,207.5,0,far,sivir,33,21,1,100,278,0,chimchar40,janna,55,66,21,57,20.5,0,YeeterDownASixer,maokai,47,293,3,33,205.7,0,IMyon,leesin,50,1498,83,43,144.3,0,Erick Dota,zoe,49,620,155,57,168.2,0,OSU 5150,varus,48,657,52,58,207.2,0,Impetuous Draven,nasus,65,68,11,55,27.5,0,2.3357,2.8251,1.8756,1.8940,3.8410,2.1620,2.5148,3.0281,2.7572,2.4223
loss,comedivetoplv3,fiora,53,347,230,57,198.1,0,GuiShenZhaoYun,xinzhao,49,79,13,23,186.2,0,lIlIlIllIlIlIl,leblanc,54,395,17,59,189.4,0,Møgie,jinx,45,181,188,52,189.9,0,Vestie Daimaku,leona,48,91,58,55,32.8,0,Zerkiu,jax,53,146,52,64,172.6,0,Rainßerry,evelynn,55,228,94,65,158.5,0,SoloHitman,katarina,49,350,319,49,173.5,0,CURRYWURST666,ezreal,63,60,2,100,201,0,Firepup16,janna,52,454,20,60,18.2,0,2.1948,1.5564,3.4076,2.5376,2.8314,1.7870,3.6977,2.8998,2.8330,2.9024
loss,TAG Caynn,viego,52.77,265.88,0,54.01,0,0,TAG Espada,jayce,57,122,25,60,198.6,0,TAG Dustnine,varus,49,35,2,100,167,0,Dylraider,pantheon,50,246,16,44,61.1,0,minionfeetlover,aatrox,46,85,3,100,174.3,0,8LS One and Only,yone,52,307,9,44,219,0,Charmed Im Suré,nami,65,23,16,69,10.9,0,Hey Goofy,irelia,52.77,265.88,0,54.01,0,0,8LS NO U,jinx,47,382,3,67,218,0,FOU D ABSINTHE,diana,49,424,4,75,181.3,0,2.80,2.0084,3.6360,2.5675,3.19107,0.9142,3.3820,2.80,3.7597,2.73115
loss,BBearDude,volibear,51,350,324,53,167.4,0,pdf file gap,khazix,53,585,12,42,172,0,Pale Horses,orianna,51,174,3,33,203,0,letters from,kalista,42,53,14,50,205.4,0,high elo bf,soraka,62,65,1,100,4,0,OLOUQAQ,aatrox,55,127,34,56,193.2,0,Bio1,graves,50,235,50,48,177.4,0,Zombies,ekko,60,10,8,63,171.8,0,Recrex,ashe,53,182,7,71,181.9,0,No1teamplayer,renata,52.77,265.88,0,54.01,0,0,2.0058,2.72108,3.3640,2.0294,6.6700,2.7066,2.3552,6.65119,2.8361,2.80
loss,grrraaa,aatrox,45,148,12,42,174.1,0,talent issue,ekko,55,124,5,20,187.2,0,Son of Orge,urgot,51,439,90,49,204.7,0,int for dmg,draven,58,192,92,67,171.3,0,Dice Bot,janna,55,197,71,52,18.3,0,Main Marino,volibear,53,191,32,66,163.3,0,KhangYi,masteryi,51,677,242,56,170.6,0,Sapfiros,syndra,52,350,82,60,179,0,KoreanDaddy,ziggs,52,347,5,40,197.6,0,Jorge Mario,lux,56,241,2,100,99.5,0,1.3666,2.0844,2.2282,1.8999,4.0120,2.3259,2.5790,2.8058,2.5442,5.3365
win,Nellum,vayne,51,574,345,53,198.7,0,Yone Zoldyck,fiddlesticks,54,225,10,70,166.2,0,Geunn,ahri,49,37,2,100,151.5,0,YheChen,jhin,51,140,47,51,193.1,0,Icaruson,renata,52.77,265.88,0,54.01,0,0,LoWbObMcStAnKeM,yone,51,673,8,50,210.5,0,GuaPiDuiZhang,reksai,52.77,265.88,0,54.01,0,0,old and slow,orianna,36,11,2,50,254,0,KaIista3,kalista,66,29,8,75,212.5,0,black balloons,sona,51,341,12,33,11.9,0,2.1757,2.7583,7.2585,3.4171,2.80,2.1375,2.80,1.6075,3.4374,3.0615
win,BuZai ShengQi,olaf,53,143,4,50,180,0,Saxbo69,masteryi,61,70,70,63,189.8,0,say ho ho,sylas,52,336,23,52,126.5,0,The Map,ezreal,53,229,77,58,211,0,AmeIiorate,blitzcrank,51,167,28,57,29.7,0,top dream,camille,51,357,99,54,188.2,0,bo7atem,vi,56,115,1,0,89,0,Kermate,syndra,50,814,38,47,207.4,0,Teddy Kun,ashe,52,205,17,59,180.7,0,stelllarstella,senna,51,404,13,62,28.4,0,1.3228,2.3683,2.3861,3.4780,3.7922,2.0861,1.0020,2.9064,3.1776,2.9231
loss,Sohh9832,mordekaiser,51,248,11,46,177.2,0,FlyingBeaverFTW,jarvaniv,58,168,1,0,180,0,Joker Kog,katarina,47,207,4,0,162,0,Scythorak,vayne,50,380,32,53,195.8,0,Aubreey,janna,48,136,9,56,13.1,0,The Elo IRS,gangplank,50,376,27,44,202.4,0,au revoir amour,karthus,53,179,86,59,198.7,0,Rogue Again,viktor,51,388,220,54,182.9,0,Marshall Lee,lucian,53,446,80,59,202.1,0,S MemberOfEnemy,leona,52,930,42,57,37.7,0,1.7949,1.2080,1.9185,1.9978,3.5818,1.8352,2.3178,2.2551,2.3676,2.2033
