Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
win,Ebonvoid,fiora,50.06,143.10,0,51.11,0,0,SchoolBoyQueuee,leesin,55,47,20,65,129.1,421557,GrannyLover,anivia,52,147,3,67,155.7,101482,Juiceboxl,ezreal,53,142,94,55,170.9,189645,arrrrmetis,blitzcrank,54,151,22,64,36.8,24921,Kyteman,riven,49,268,218,53,171.9,473316,Lt Yak,ekko,35,40,9,22,129.9,16823,DestroyBee,zed,47,15,6,50,187.3,63887,21 Inches,senna,44,90,9,78,153.3,19182,Good Bye Kiddo,pantheon,47,223,81,52,57.5,319239,2.60,2.8377,6.1363,2.7863,2.7733,2.2165,1.3616,2.1798,4.6296,2.2196
loss,IronWolf149,riven,71,17,15,73,234.3,12943,TheOneLeoHK,masteryi,50,158,109,52,179.3,1866850,Lil Poundcake,zoe,49,137,40,45,151.6,140148,Inferno906,sivir,55,53,28,57,190.4,137361,ObviAnoob,morgana,42,76,1,0,83,99785,ZaLedgend69,sett,50,12,5,80,135,83046,SIR OPIUM,kayn,43,49,13,39,171,22766,THCpro,karthus,47,290,113,55,200,605758,virgulebari,ashe,48,156,16,63,170.6,15590,Ihmahu,lux,56,59,8,88,66.3,7628,3.0897,2.3463,2.4272,2.2855,0.4700,3.4282,2.2096,2.25100,3.1566,5.0074
loss,Day Owners,darius,50,270,211,51,169.1,328002,Elifontae,belveth,35,60,28,39,185.6,15098,Drakesdad123,yone,62,50,3,33,206,21225,The0r3m,caitlyn,43,221,38,50,137.4,24780,Guptaa,pyke,62,39,38,61,33.7,181427,MAN SPAM,teemo,44,78,10,60,155.9,88732,notXQCl,hecarim,52,262,6,17,170.8,3430,linksword,zoe,49,174,157,48,119.2,191054,CallMeSenpai24,ashe,49,204,77,49,141,179303,Donv4,blitzcrank,48,157,10,40,39.6,185533,2.0066,1.7962,2.70130,1.4836,1.7654,1.5355,2.1280,2.9757,2.6444,2.0732
loss,Netinho Psy,illaoi,47,110,4,0,184.3,19086,l3rito,shaco,50,369,75,47,111.1,79883,Pachio,veigar,58,33,20,60,203.3,56720,Silenc3r,caitlyn,55,301,17,41,177.6,445338,visvim,teemo,45,255,1,0,65,1769,K4Midori,yone,47,93,22,50,218.5,222787,DeadAagain,amumu,49,168,156,49,158.5,119237,Wizkey,lux,56,108,15,60,181.5,149459,hornyboiii,kaisa,43,271,73,52,188.3,70852,MissSenpaiii69,morgana,44,82,28,36,44.2,287055,1.4978,2.64101,1.6792,1.4068,0.7340,2.82111,1.9544,5.4471,2.42102,1.7821
loss,Worthered,darius,28,32,1,0,220,265,king of the flag,fiddlesticks,37,19,4,0,120.8,94337,Gwalterulosa,malzahar,30,33,13,39,236.8,6351,Black Hole Bunny,xayah,51,279,2,50,79,16248,Reviance,lux,10,10,6,17,44.8,40888,ZombieJuggernaut,tryndamere,51,68,1,100,160,34536,PyLooo18,nocturne,47,36,18,50,188,301959,Sirengamer,syndra,56,124,2,50,120,29402,SyncShots,tristana,51,140,20,50,169.5,16537,Violent Wavez,zyra,63,40,39,64,45.3,132391,0.8640,0.9345,3.0065,0.9340,0.7222,2.4030,2.7785,1.5760,2.0059,3.1746
loss,raspution,ornn,48,489,74,45,187.9,575028,Creverex,masteryi,51,215,90,50,181.2,696445,TypicalACorn,zed,51,258,2,0,176,24389,Mildlysweet,lucian,65,89,1,100,162,14808,spaceb6,pyke,48,97,6,33,24.7,13953,DefNotAJglMain,kayle,52,150,1,100,196,812,jooniewooniepie,rammus,51,114,31,52,133,20800,CornGang,lux,52,156,59,63,157.9,288098,5hroomsRU5,jinx,43,89,25,44,177.4,150979,MooMooMercutio,rell,40,60,10,30,33.2,5471,1.7360,1.7290,1.3835,2.1480,1.2348,9.00120,3.4745,3.1648,3.1268,3.4520
loss,RatKing56,teemo,48,232,166,57,66.1,737590,MuchoC,reksai,52,23,18,61,182.7,178935,Mommy MF,neeko,67,76,20,70,151,53290,lilyama,missfortune,51,35,5,60,160.8,94789,Ghost Fox,nautilus,50,114,33,67,43.4,36852,Max Piana,yorick,54,295,116,54,187.7,114141,N0o0o0BB,khazix,44,96,16,56,147.4,18157,Enemy AC13O,xerath,53,157,142,54,134.2,886113,ChippedBrick,tristana,48,113,31,39,135.3,57028,DemiGodLam,pantheon,56,9,4,50,68.3,109124,3.3548,2.5093,2.8456,2.5254,2.6630,2.2154,2.0678,3.3987,2.4157,2.0050
win,OrbFist,volibear,50,380,46,50,169.6,101803,ralphieboss,kayn,51,156,65,62,153.2,164302,miséricord,briar,50,555,52,40,174.3,30950,Shooter Supports,caitlyn,53,58,41,56,187.2,97002,Quig35,lux,64,14,1,0,62,45204,xRealiity,garen,50.06,143.10,0,51.11,0,0,PogoRexx,ivern,50.06,143.10,0,51.11,0,0,Munchi3s,zoe,49,85,2,50,150.5,8915,wthetc,kaisa,45,20,6,33,163.8,8333,A Trapt,sona,50,52,7,57,13.9,106418,1.9985,2.1281,1.83144,1.8764,1.0030,2.60,2.60,2.3170,1.9145,2.6827
win,xSilas,gangplank,47,139,20,50,177.7,39718,Raesol,viego,49,399,263,52,166.2,352708,HaNaKiSenZu,jayce,54,114,47,64,195.4,29118,Dont Hug My Wife,kaisa,67,12,1,100,275,7938,getSpoopd,tahmkench,43,72,19,47,42.4,26321,Thę Moon,darius,48,140,5,40,206.8,50259,CL0WNSH0W,khazix,55,109,36,58,173.8,105161,MooMooKing777,zed,52,88,25,60,202.2,153308,G2 Bleek,xayah,50,111,3,0,256,5730,tylerarmstrong,swain,48,149,113,48,35.3,105544,1.4853,2.3468,1.9085,5.50100,2.5438,2.2498,2.8687,2.8474,1.1540,2.0547
win,ZSmitty,maokai,54,109,6,100,162.3,23340,PetiteLegalLoli,volibear,53,151,142,55,189.2,178336,oopichu,zoe,50,317,66,50,129.8,95773,coolguy9663,ashe,47,15,3,33,172.7,38841,Dry Oil,alistar,53,17,2,100,26.5,103705,JerichoXIII,mordekaiser,57,14,2,50,167,27312,HunYou,kayn,50.06,143.10,0,51.11,0,0,ImActuallyHaydog,ryze,50.06,143.10,0,51.11,0,0,liljonzy187,caitlyn,50.06,143.10,0,51.11,0,0,General Jones,blitzcrank,49,49,3,67,38.3,119426,2.4847,2.9752,2.7670,3.6273,6.8015,3.0055,2.60,2.60,2.60,3.5607
win,Ankhalagon,malphite,43,202,34,38,131.1,543841,Manofhistory1995,diana,50.06,143.10,0,51.11,0,0,RG Jaxsper,zyra,52,170,64,55,134.3,789955,OBASKUBS,jhin,53,73,16,44,163.9,23715,Vigowski,maokai,47,36,3,0,55,80485,xHealerx,teemo,50.06,143.10,0,51.11,0,0,Karma0,hecarim,50.06,143.10,0,51.11,0,0,ur a rat,akali,48,167,14,21,130.3,11416,LePoonGoon,sivir,52,81,6,67,224,14687,troll 4 rude tm8,annie,50.06,143.10,0,51.11,0,0,2.7653,2.60,2.2455,2.03105,2.1510,2.60,2.60,2.2394,3.3887,2.60
loss,clocke09,malphite,47,170,81,48,135.5,45858,brenbtw,viego,47,98,1,0,164,193,ScarfaceBull,wukong,50,263,25,56,137.9,77798,BadddKittyyy,missfortune,46,121,111,51,174.9,594936,stayinsider,blitzcrank,14,7,1,0,30,17370,JBlekk,teemo,45,103,20,50,164.3,35255,turtleseas,kayn,51,366,64,42,164,36042,MapoD,fizz,45,204,155,45,125.4,119718,Real Brazy,aphelios,49,596,354,49,170.7,205208,slingshotz84,soraka,42,81,1,100,19,49429,2.8748,1.1150,2.82136,2.4475,2.1440,2.1235,1.6187,2.0787,2.0977,3.8010
loss,MalMak33,garen,41,29,1,0,204,150297,RickTshow Shaco,sejuani,51,86,6,17,142.3,31638,teddy sanders,vladimir,61,31,29,59,241.7,81001,Sekemier,ezreal,45,74,28,57,183.5,104778,jessixxxa,morgana,50,8,10,50,32,47925,nimbûs,riven,54,289,10,60,197.5,362966,Louckia,evelynn,45,94,2,50,109,91376,OppaiFetish,lux,47,36,7,43,67.6,759551,Daddylittletwink,missfortune,67,6,2,50,147,65327,Madame ARAM,neeko,33,12,2,100,107.5,162789,1.1750,1.3828,2.0796,3.0954,2.2224,2.5268,1.9355,4.4194,0.7440,1.4210
