Win/Loss,Player1 name,Player1 champ name,Player1 overall wr,Player1 total games,Player1 champ games,Player1 champ wr,Player1 kda,Player1 cs,Player1 mastery,Player2 name,Player2 champ name,Player2 overall wr,Player2 total games,Player2 champ games,Player2 champ wr,Player2 kda,Player2 cs,Player2 mastery,Player3 name,Player3 champ name,Player3 overall wr,Player3 total games,Player3 champ games,Player3 champ wr,Player3 kda,Player3 cs,Player3 mastery,Player4 name,Player4 champ name,Player4 overall wr,Player4 total games,Player4 champ games,Player4 champ wr,Player4 kda,Player4 cs,Player4 mastery,Player5 name,Player5 champ name,Player5 overall wr,Player5 total games,Player5 champ games,Player5 champ wr,Player5 kda,Player5 cs,Player5 mastery,Player6 name,Player6 champ name,Player6 overall wr,Player6 total games,Player6 champ games,Player6 champ wr,Player6 kda,Player6 cs,Player6 mastery,Player7 name,Player7 champ name,Player7 overall wr,Player7 total games,Player7 champ games,Player7 champ wr,Player7 kda,Player7 cs,Player7 mastery,Player8 name,Player8 champ name,Player8 overall wr,Player8 total games,Player8 champ games,Player8 champ wr,Player8 kda,Player8 cs,Player8 mastery,Player9 name,Player9 champ name,Player9 overall wr,Player9 total games,Player9 champ games,Player9 champ wr,Player9 kda,Player9 cs,Player9 mastery,Player10 name,Player10 champ name,Player10 overall wr,Player10 total games,Player10 champ games,Player10 champ wr,Player10 kda,Player10 cs,Player10 mastery
loss,Kaizer Morde,viego,50,433,247,47,2.687.5,187.3,ng,StrawberryDureXx,kindred,52,572,226,52,3.108.4,183.4,ng,Veiga,veigar,52,405,386,53,2.625.0,205.9,ng,BIE CHI BIE CHI,xayah,58,153,3,0,2.816.7,244.3,ng,Dal Byul,alistar,53,617,100,57,3.241.3,29.9,ng,Lizzy409,renekton,51,462,66,62,2.326.0,186,ng,NUNU WINTRADE,nunu&willump,57,515,456,59,3.165.1,163.9,ng,Greed,zed,52,475,302,57,3.167.3,215.2,ng,array4,jinx,52,243,23,61,2.556.4,191.4,ng,tamım,janna,51,788,176,52,3.061.3,12.2,ng
win,Elo Demon,ornn,58,177,175,59,5.083.8,185.9,ng,ChasingMyDreams,hecarim,69,36,6,50,1.936.7,145.5,ng,Ryzeini,azir,56,143,76,55,3.026.6,224.8,ng,DeadEdge,tristana,None,None,None,None,None,0,ng,The Wench,yuumi,47,133,208,52,4.461.3,3.1,ng,Khòöó ,aatrox,None,None,None,None,None,0,ng,KLZ Sundae,jarvaniv,57,138,7,57,4.966.1,134,ng,APL clØudy,orianna,42,45,6,83,4.898.8,223.3,ng,APL Thng,kaisa,46,65,14,57,3.8610.6,229.7,ng,APL youngtobi,leona,None,None,None,None,None,0,ng
win,PogoDuMaxi,warwick,53,167,3,67,2.335.7,170.3,ng,Zzloba,fiddlesticks,51,566,489,53,2.825.1,168.3,ng,bombtruck457,syndra,46,126,27,48,1.875.6,207.5,ng,far,sivir,33,21,1,100,1.894.0,278,ng,chimchar40,janna,55,66,21,57,3.841.0,20.5,ng,YeeterDownASixer,maokai,47,293,3,33,2.162.0,205.7,ng,IMyon,leesin,50,1498,83,43,2.514.8,144.3,ng,Erick Dota,zoe,49,620,155,57,3.028.1,168.2,ng,OSU 5150,varus,48,657,52,58,2.757.2,207.2,ng,Impetuous Draven,nasus,65,68,11,55,2.422.3,27.5,ng
loss,comedivetoplv3,fiora,53,347,230,57,2.194.8,198.1,ng,GuiShenZhaoYun,xinzhao,49,79,13,23,1.556.4,186.2,ng,lIlIlIllIlIlIl,leblanc,54,395,17,59,3.407.6,189.4,ng,Møgie,jinx,45,181,188,52,2.537.6,189.9,ng,Vestie Daimaku,leona,48,91,58,55,2.831.4,32.8,ng,Zerkiu,jax,53,146,52,64,1.787.0,172.6,ng,Rainßerry,evelynn,55,228,94,65,3.697.7,158.5,ng,SoloHitman,katarina,49,350,319,49,2.899.8,173.5,ng,CURRYWURST666,ezreal,63,60,2,100,2.833.0,201,ng,Firepup16,janna,52,454,20,60,2.902.4,18.2,ng
loss,TAG Caynn,viego,None,None,None,None,None,0,ng,TAG Espada,jayce,57,122,25,60,2.008.4,198.6,ng,TAG Dustnine,varus,49,35,2,100,3.636.0,167,ng,Dylraider,pantheon,50,246,16,44,2.567.5,61.1,ng,minionfeetlover,aatrox,46,85,3,100,3.1910.7,174.3,ng,8LS One and Only,yone,52,307,9,44,0.914.2,219,ng,Charmed Im Suré,nami,65,23,16,69,3.382.0,10.9,ng,Hey Goofy,irelia,None,None,None,None,None,0,ng,8LS NO U,jinx,47,382,3,67,3.759.7,218,ng,FOU D ABSINTHE,diana,49,424,4,75,2.7311.5,181.3,ng
loss,BBearDude,volibear,51,350,324,53,2.005.8,167.4,ng,pdf file gap,khazix,53,585,12,42,2.7210.8,172,ng,Pale Horses,orianna,51,174,3,33,3.364.0,203,ng,letters from,kalista,42,53,14,50,2.029.4,205.4,ng,high elo bf,soraka,62,65,1,100,6.670.0,4,ng,OLOUQAQ,aatrox,55,127,34,56,2.706.6,193.2,ng,Bio1,graves,50,235,50,48,2.355.2,177.4,ng,Zombies,ekko,60,10,8,63,6.6511.9,171.8,ng,Recrex,ashe,53,182,7,71,2.836.1,181.9,ng,No1teamplayer,renata,None,None,None,None,None,0,ng
loss,grrraaa,aatrox,45,148,12,42,1.366.6,174.1,ng,talent issue,ekko,55,124,5,20,2.084.4,187.2,ng,Son of Orge,urgot,51,439,90,49,2.228.2,204.7,ng,int for dmg,draven,58,192,92,67,1.899.9,171.3,ng,Dice Bot,janna,55,197,71,52,4.012.0,18.3,ng,Main Marino,volibear,53,191,32,66,2.325.9,163.3,ng,KhangYi,masteryi,51,677,242,56,2.579.0,170.6,ng,Sapfiros,syndra,52,350,82,60,2.805.8,179,ng,KoreanDaddy,ziggs,52,347,5,40,2.544.2,197.6,ng,Jorge Mario,lux,56,241,2,100,5.336.5,99.5,ng
win,Nellum,vayne,51,574,345,53,2.175.7,198.7,ng,Yone Zoldyck,fiddlesticks,54,225,10,70,2.758.3,166.2,ng,Geunn,ahri,49,37,2,100,7.258.5,151.5,ng,YheChen,jhin,51,140,47,51,3.417.1,193.1,ng,Icaruson,renata,None,None,None,None,None,0,ng,LoWbObMcStAnKeM,yone,51,673,8,50,2.137.5,210.5,ng,GuaPiDuiZhang,reksai,None,None,None,None,None,0,ng,old and slow,orianna,36,11,2,50,1.607.5,254,ng,KaIista3,kalista,66,29,8,75,3.437.4,212.5,ng,black balloons,sona,51,341,12,33,3.061.5,11.9,ng
win,BuZai ShengQi,olaf,53,143,4,50,1.322.8,180,ng,Saxbo69,masteryi,61,70,70,63,2.368.3,189.8,ng,say ho ho,sylas,52,336,23,52,2.386.1,126.5,ng,The Map,ezreal,53,229,77,58,3.478.0,211,ng,AmeIiorate,blitzcrank,51,167,28,57,3.792.2,29.7,ng,top dream,camille,51,357,99,54,2.086.1,188.2,ng,bo7atem,vi,56,115,1,0,1.002.0,89,ng,Kermate,syndra,50,814,38,47,2.906.4,207.4,ng,Teddy Kun,ashe,52,205,17,59,3.177.6,180.7,ng,stelllarstella,senna,51,404,13,62,2.923.1,28.4,ng
loss,Sohh9832,mordekaiser,51,248,11,46,1.794.9,177.2,ng,FlyingBeaverFTW,jarvaniv,58,168,1,0,1.208.0,180,ng,Joker Kog,katarina,47,207,4,0,1.918.5,162,ng,Scythorak,vayne,50,380,32,53,1.997.8,195.8,ng,Aubreey,janna,48,136,9,56,3.581.8,13.1,ng,The Elo IRS,gangplank,50,376,27,44,1.835.2,202.4,ng,au revoir amour,karthus,53,179,86,59,2.317.8,198.7,ng,Rogue Again,viktor,51,388,220,54,2.255.1,182.9,ng,Marshall Lee,lucian,53,446,80,59,2.367.6,202.1,ng,S MemberOfEnemy,leona,52,930,42,57,2.203.3,37.7,ng
