Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
win,60.422000000000004,27.8,126.02000000000001,52.812,98.49999999999999,3.4267200000000004,51.0,64.6,127.2,44.4,139.98000000000002,2.52142
loss,45.4,38.6,88.2,53.4,167.72,2.12374,65.0,31.0,113.2,48.8,148.57999999999998,3.21056
loss,46.8,63.6,128.0,50.4,146.36,1.95062,42.8,52.0,175.0,48.4,125.30000000000003,2.27136
loss,29.6,23.4,213.6,51.0,148.26,1.591762,49.4,58.8,144.4,47.8,158.2,2.8851459999999998
loss,21.2,5.2,74.6,31.2,140.28,1.29224,62.8,16.0,81.6,53.6,136.56,2.3876
loss,45.6,34.6,229.6,52.6,146.36,1.6462599999999998,57.8,25.2,113.8,47.6,139.5,4.443859999999999
loss,63.0,48.4,96.0,53.6,120.79999999999998,2.7796200000000004,50.6,61.8,134.0,51.0,134.57999999999998,2.42052
win,41.6,41.0,232.6,53.6,149.26,1.7674879999999997,48.444,3.0,88.64,48.824,65.64,2.42284
win,62.6,70.0,147.2,52.0,171.33999999999997,2.7570800000000006,41.2,36.4,119.4,50.6,174.82,2.23492
win,67.6,43.8,121.8,51.4,136.1,3.73114,54.065999999999995,1.0,98.46,51.236000000000004,41.06,2.87324
win,37.622,23.4,124.82000000000001,49.012,96.85999999999999,2.35857,48.266,4.0,135.46,50.036,70.86,2.6856199999999997
loss,31.0,43.8,131.8,40.8,128.45999999999998,2.280532,57.2,118.8,270.0,46.4,128.68,2.34392
loss,36.6,14.8,45.6,49.6,160.7,1.9910400000000004,60.6,4.6,87.4,49.2,125.72,2.20934
loss,46.4,31.0,223.8,53.8,147.9,2.49542,60.6,26.2,169.6,50.0,147.36,2.90502
loss,39.8,35.2,65.8,47.4,130.38000000000002,2.4946900000000003,69.8,20.4,74.8,56.8,145.92000000000002,2.72214
loss,28.8,7.8,29.2,56.0,127.0,1.9213,62.0,24.6,50.8,45.2,148.48,5.37154
loss,48.2,21.6,156.2,49.2,140.85999999999999,2.517966,52.222,18.4,86.62,47.612,120.08,2.60256
win,64.22200000000001,3.2,66.62,53.012,99.55999999999999,3.995796,28.8,16.2,104.8,45.4,135.18,2.0723599999999998
win,63.2,38.6,148.0,50.8,147.34,3.29424,45.0,36.6,281.2,52.4,135.76,1.8861599999999998
